text,label
"þÿ""I know a nurse on a covid ward. Seems real to her. I have had it as well. Not bad enough to be hospitalised but  tested   positive . It's no joke. Still recovering now"," 2 months later."""
"I was a substance abuse & mental health counselor aide when  I   tested   positive  for COVID. While recovering, my position was eliminated and I?ÿý?ve been waiting for unemployment for 5+ weeks, if anyone could help even a $5 would be appreciated $halfofmysoul ",
I?ÿý?ve  tested   positive  for covid. This is real and we all need to stay safe ,
"Life update y?ÿý?all:  I   tested   positive  for Covid last week.  Haven?ÿý?t felt too bad, never showed the major symptoms.  Was a little fatigued for a bit but already working from home so not impacted much there.  Officially ?ÿý?released?ÿý? by Linn County Public Health today.",
I told my mom  I   tested   positive  for corona and she goes ?ÿý?dont be licking your cat?ÿý? ?? Wtf mom I dont lick my cat u weirdo,
"I have just  tested   positive  for loving u mob  
So wat crossed that mind of urs   ????
Anhaaa...tell me ",
im like 80% sure I actually had covid back in april but was asymptomatic cause we?ÿý?re  positive  my sister had it cause she  tested  negative for the flu but that worries me bc i dont wanna be responsible for getting a child sick,
"I   tested   positive  for Covid-19 . My main symptoms were lost of taste and smell. I also had a mild fever.  

Today is day 5 of quarantine/isolation and I?ÿý?m feeling like myself again. 

Say a prayer for me please ",
"Get well soon,  I   tested   positive  last month and I've recovered now.. You will be fine trust me.. 80% have no symptoms, 15% have very Mild symptoms and the 5% are those who need critical care but if you need emotional support here's my number 0735213713 feel free to call",
"not  positive , just had to get  tested  as a requirement. i?ÿý?m all good & in the clear hehe",
I got  tested  for COVID on June 9. Was told if I was  positive   I  would get a call in 3 days. If negative I would get my results in 5-7 business days. It?ÿý?s been 12 business days and still have no results. This is a problem.,
sooooo earlier this year (~ april)  i   tested   positive  for Covid-19. i got  tested  again a few weeks ago & my Dr. was like ?ÿý?some luck huh? failing kidneys AND covid-19? MAN!?ÿý? ..... today that just hit me & i spent 3hrs crying about it lol,
anyways two employees at my job  tested   positive  for covid and they JUST now told us... it happened on the 18th and 20th and i worked that Saturday..... lets just hope im okay,
I   tested   positive  for the covid antibodies but i was asymptotic.,
guys  i   tested   positive  for Miss Rona. my symptoms felt like seasonal allergies. no fever or cough. but if we?ÿý?ve been in contact in the past 2 weeks and you start to experience symptoms pls get  tested !,
"PSA  :
 I   tested   positive  for COVID.

If you?ÿý?ve came in any form of contact with me, please I advise you to go get  tested .",
i   tested   positive  for corona    https:// twitter.com/gus12202/statu s/1276005075316432896?s=21 ?? ?ÿý?,
I was not able to get a test when I was sick but  tested   positive  for the antibodies. I'm guessing I am not counted in the#infected.,
"i?ÿý?ve  tested   positive  for COVID-19, so if you?ÿý?ve been around me in the past 5-7 days, please go get  tested  for COVID. in the meantime, please pray for me as my recovery will be long considering i have asthma.",
"I had terrible body pains fever and a terrible headache. I'm on meds, feel better but it's been 7 days now without a sense of smell and taste. I eat just for the sake of eating. Food is like cardboard and water tastes horrible and  I   tested   Positive    #Covid19isGettingCloser pic.twitter.com/YOZfuatbRu",
The test is painful as hell. They shove this long stick up your nose to get to the very back of it. The next day- I get the call that  I   tested   positive  & holy shit the guilt/ashamed I felt bc I have elderly parents,
"# Covid19isGettingCloser   I   tested   positive  for covid-19 a month ago. This is what I was using, and a whole lot of fruits in between. I am back to work now, but stigma , however I don't give a.....  pic.twitter.com/mvqs5d0qYI",
"No it's just the public scared over nothing, I've  tested   positive  twice and I've honestly had worse colds",
Tested   positive  for COVID but for my anti body I was negative and I got no symptoms how TF. Starting to think who ever gets  tested  will end up  positive  so we stay home to bring the numbers down ,
"Ended up getting  tested  for Covid-19 today, im sure my results are going to come back  positive .  I  literally can?ÿý?t taste or smell anything it?ÿý?s crazy!",
I   tested   positive  for covid just in case I?ÿý?ve seen any of you fools recently ,
